Date,FileName,Rcmarker,Category,Region,Count
10/31/23,pavpnutfas3,pav::mcherry,pav_pnut_nonring,Three,0
10/31/23,pavpnutfas3,pav::mcherry,pav_midbody_only,TwoB,3
10/31/23,pavpnutfas3,pav::mcherry,pav_midbody_only,Three,7
10/31/23,pavpnutfas3,pav::mcherry,pavmidbody_pnutstructure,TwoB,0
10/31/23,pavpnutfas3,pav::mcherry,pavmidbody_pnutstructure,Three,2
10/31/23,pavpnutfas3,pav::mcherry,pav_nonring_structure,TwoB,0
10/31/23,pavpnutfas3,pav::mcherry,pav_nonring_structure,Three,0
10/31/23,pavpnutfas3001,pav::mcherry,pav_rings_only,TwoB,14
10/31/23,pavpnutfas3001,pav::mcherry,pav_rings_only,Three,8
10/31/23,pavpnutfas3001,pav::mcherry,pnut_rings_only,TwoB,0
10/31/23,pavpnutfas3001,pav::mcherry,pnut_rings_only,Three,0
10/31/23,pavpnutfas3001,pav::mcherry,pavrings_pnutrings,TwoB,4
10/31/23,pavpnutfas3001,pav::mcherry,pavrings_pnutrings,Three,8
10/31/23,pavpnutfas3001,pav::mcherry,pav_pnut_nonring,TwoB,0
10/31/23,pavpnutfas3001,pav::mcherry,pav_pnut_nonring,Three,0
10/31/23,pavpnutfas3001,pav::mcherry,pav_midbody_only,TwoB,3
10/31/23,pavpnutfas3001,pav::mcherry,pav_midbody_only,Three,0
10/31/23,pavpnutfas3001,pav::mcherry,pavmidbody_pnutstructure,TwoB,2
10/31/23,pavpnutfas3001,pav::mcherry,pavmidbody_pnutstructure,Three,0
10/31/23,pavpnutfas3001,pav::mcherry,pav_nonring_structure,TwoB,0
10/31/23,pavpnutfas3001,pav::mcherry,pav_nonring_structure,Three,0
10/31/23,pavpnutfas3002,pav::mcherry,pav_rings_only,TwoB,15
10/31/23,pavpnutfas3002,pav::mcherry,pav_rings_only,Three,10
10/31/23,pavpnutfas3002,pav::mcherry,pnut_rings_only,TwoB,0
10/31/23,pavpnutfas3002,pav::mcherry,pnut_rings_only,Three,0
10/31/23,pavpnutfas3002,pav::mcherry,pavrings_pnutrings,TwoB,7
10/31/23,pavpnutfas3002,pav::mcherry,pavrings_pnutrings,Three,6
10/31/23,pavpnutfas3002,pav::mcherry,pav_pnut_nonring,TwoB,0
10/31/23,pavpnutfas3002,pav::mcherry,pav_pnut_nonring,Three,0
10/31/23,pavpnutfas3002,pav::mcherry,pav_midbody_only,TwoB,0
10/31/23,pavpnutfas3002,pav::mcherry,pav_midbody_only,Three,1
10/31/23,pavpnutfas3002,pav::mcherry,pavmidbody_pnutstructure,TwoB,0
10/31/23,pavpnutfas3002,pav::mcherry,pavmidbody_pnutstructure,Three,0
10/31/23,pavpnutfas3002,pav::mcherry,pav_nonring_structure,TwoB,0
10/31/23,pavpnutfas3002,pav::mcherry,pav_nonring_structure,Three,0
10/31/23,pavpnutfas3003,pav::mcherry,pav_rings_only,TwoB,32
10/31/23,pavpnutfas3003,pav::mcherry,pav_rings_only,Three,31
10/31/23,pavpnutfas3003,pav::mcherry,pnut_rings_only,TwoB,1
10/31/23,pavpnutfas3003,pav::mcherry,pnut_rings_only,Three,0
10/31/23,pavpnutfas3003,pav::mcherry,pavrings_pnutrings,TwoB,8
10/31/23,pavpnutfas3003,pav::mcherry,pavrings_pnutrings,Three,2
10/31/23,pavpnutfas3003,pav::mcherry,pav_pnut_nonring,TwoB,0
10/31/23,pavpnutfas3003,pav::mcherry,pav_pnut_nonring,Three,0
10/31/23,pavpnutfas3003,pav::mcherry,pav_midbody_only,TwoB,2
10/31/23,pavpnutfas3003,pav::mcherry,pav_midbody_only,Three,1
